subject,exercise,wrist,n_reps,rep_dur_s,rmse_deg
S06,Wand-Extension,RW,18,2.1,0.72
S06,Wand-Extension,LW,18,2.11,0.61
S06,Wand-Flexion,RW,7,4.18,0.99
S06,Wand-Flexion,LW,7,4.23,0.95
S06,Scaption,RW,8,4.81,1.01
S06,Scaption,LW,8,4.8,1.56
S06,External-Rotation,RW,11,3.48,0.49
S06,External-Rotation,LW,9,3.62,0.78
S06,One-Arm-Tricep-Extension,RW,9,4.0,0.85
S06,Banded-Overhead-Reach,RW,15,5.59,2.36
S07,Ulnar-Nerve-Glide,LW,18,4.83,1.41
S07,Ulnar-Nerve-Glide,RW,18,4.68,1.4
S07,Forearm-Pronation-Supination,RW,8,4.74,0.82
S07,Forearm-Pronation-Supination,LW,8,4.84,0.95
S07,Front-Delt-Raise,RW,11,3.66,2.11
S07,Front-Delt-Raise,LW,11,3.36,0.81
S07,Lateral-Delt-Raise,RW,11,3.38,0.98
S07,Lateral-Delt-Raise,LW,11,3.45,1.54
S07,Scapular,RW,11,3.45,1.78
S07,Scapular,LW,11,3.31,1.44
S07,Bicep-Curl,LW,10,3.79,1.4
S07,Bicep-Curl,RW,10,3.99,2.95
S07,Wand-Extension,RW,12,2.63,0.5
S07,Wand-Extension,LW,16,2.39,0.42
S07,Wand-Flexion,RW,6,4.6,1.86
S07,Wand-Flexion,LW,6,4.43,1.94
S07,Scaption,LW,11,3.49,0.94
S07,Scaption,RW,11,3.46,1.07
S07,External-Rotation,LW,6,6.67,1.11
S07,External-Rotation,RW,5,5.93,0.56
S07,Banded-Overhead-Reach,RW,26,3.25,0.72
S08,Ulnar-Nerve-Glide,LW,13,6.94,1.19
S08,Ulnar-Nerve-Glide,RW,13,6.92,1.21
S08,Forearm-Pronation-Supination,LW,10,4.06,1.0
S08,Forearm-Pronation-Supination,RW,10,3.93,1.15
S08,Front-Delt-Raise,RW,10,3.71,2.23
S08,Front-Delt-Raise,LW,11,3.71,3.13
S08,Lateral-Delt-Raise,LW,8,4.42,2.32
S08,Lateral-Delt-Raise,RW,8,4.81,0.79
S08,Scapular,RW,9,4.23,1.36
S08,Scapular,LW,9,4.61,2.86
S08,Bicep-Curl,RW,8,4.59,1.9
S08,Bicep-Curl,LW,8,4.62,1.1
S08,Wand-Extension,LW,9,4.49,1.33
S08,Wand-Extension,RW,9,4.5,0.68
S08,Wand-Flexion,LW,5,5.97,0.77
S08,Wand-Flexion,RW,5,6.07,0.67
S08,Scaption,RW,7,5.95,0.78
S08,Scaption,LW,7,5.37,1.44
S08,External-Rotation,LW,7,5.52,1.55
S08,External-Rotation,RW,3,10.25,1.65
S08,One-Arm-Tricep-Extension,RW,7,5.16,1.24
S08,Banded-Overhead-Reach,RW,8,11.86,2.57
S09,Ulnar-Nerve-Glide,RW,19,4.53,1.63
S09,Ulnar-Nerve-Glide,LW,19,4.55,20.59
S09,Forearm-Pronation-Supination,RW,9,4.03,1.34
S09,Forearm-Pronation-Supination,LW,9,3.88,2.21
S09,Front-Delt-Raise,RW,9,4.11,0.81
S09,Front-Delt-Raise,LW,9,4.1,1.07
S09,Lateral-Delt-Raise,RW,10,3.74,1.5
S09,Lateral-Delt-Raise,LW,10,3.61,1.72
S09,Scapular,LW,12,3.05,1.2
S09,Scapular,RW,13,3.11,0.96
S09,Bicep-Curl,RW,6,6.59,1.27
S09,Bicep-Curl,LW,6,6.58,1.43
S09,Wand-Extension,LW,19,1.97,0.53
S09,Wand-Extension,RW,19,2.07,0.42
S09,Wand-Flexion,LW,6,4.82,2.96
S09,Wand-Flexion,RW,6,5.79,3.39
S09,Scaption,RW,7,5.1,0.88
S09,Scaption,LW,7,5.51,0.94
S09,External-Rotation,RW,13,2.4,0.58
S09,External-Rotation,LW,12,3.02,0.6
S09,One-Arm-Tricep-Extension,RW,6,6.75,1.35
S09,Banded-Overhead-Reach,RW,13,7.07,1.12
S10,Scapular,LW,9,3.98,0.78
S10,Scapular,RW,9,4.13,1.02
S10,Front-Delt-Raise,LW,9,4.31,2.32
S10,Front-Delt-Raise,RW,9,4.15,1.19
S10,Lateral-Delt-Raise,LW,10,3.8,1.54
S10,Lateral-Delt-Raise,RW,10,3.79,0.76
S10,Ulnar-Nerve-Glide,RW,14,6.31,2.75
S10,Ulnar-Nerve-Glide,LW,14,6.17,1.57
S10,Forearm-Pronation-Supination,LW,9,4.37,1.19
S10,Forearm-Pronation-Supination,RW,9,4.15,0.99
S10,Bicep-Curl,LW,7,5.4,2.38
S10,Bicep-Curl,RW,7,5.27,21.13
S10,Scaption,RW,8,4.36,1.61
S10,Scaption,LW,8,4.5,1.05
S10,Wand-Extension,RW,15,2.71,1.24
S10,Wand-Extension,LW,15,2.52,1.03
S10,Wand-Flexion,LW,6,4.44,2.67
S10,Wand-Flexion,RW,6,4.18,2.45
S10,External-Rotation,LW,8,4.69,0.67
S10,External-Rotation,RW,8,4.36,1.18
S10,One-Arm-Tricep-Extension,RW,8,4.59,2.19
S10,Banded-Overhead-Reach,RW,15,5.64,1.01
S11,Ulnar-Nerve-Glide,LW,18,5.11,1.58
S11,Ulnar-Nerve-Glide,RW,18,4.95,0.95
S11,Forearm-Pronation-Supination,RW,10,3.76,0.74
S11,Forearm-Pronation-Supination,LW,10,3.66,0.96
S11,Front-Delt-Raise,RW,9,4.37,0.79
S11,Front-Delt-Raise,LW,9,4.49,0.74
S11,Lateral-Delt-Raise,RW,9,4.37,0.65
S11,Lateral-Delt-Raise,LW,9,4.4,0.78
S11,Scapular,RW,9,4.31,0.74
S11,Scapular,LW,9,4.14,0.69
S11,Bicep-Curl,RW,7,5.53,2.41
S11,Bicep-Curl,LW,7,5.42,1.72
S11,Scaption,LW,8,5.08,1.08
S11,Scaption,RW,8,4.93,1.9
S11,Wand-Extension,LW,15,2.72,0.49
S11,Wand-Extension,RW,15,2.57,0.42
S11,Wand-Flexion,RW,5,5.38,1.11
S11,Wand-Flexion,LW,5,5.48,1.17
S11,External-Rotation,RW,12,2.35,0.53
S11,External-Rotation,LW,12,3.79,0.49
S11,Banded-Overhead-Reach,RW,16,6.2,1.59
