subject,exercise,condition,overlap_s,r_theta,r_speed,rmse_deg,lag_s
S01,Ulnar-Nerve-Glide,Cubital-Tunnel-Syndrome,89.713,0.9966742543204209,0.9780304282573433,5.9276943994948565,0.0
S01,Forearm-Pronation-Supination,Distal-Radius-Fracture,39.794,0.9932679087073936,0.8771610992694848,14.150559344790386,0.0
S01,Front-Delt-Raise,Shoulder-Impingement,39.796,0.9810627211764409,0.8531095559851258,8.996709111867025,-0.05
S01,Lateral-Delt-Raise,Shoulder-Impingement,39.637,0.9959120593676336,0.9118189059317054,5.925961606569997,0.0
S01,Scapular,Shoulder-Impingement,39.794,0.9867814444204319,0.891648519634811,6.621242567067563,0.0
S01,Bicep-Curl,Bicep-Tendonitis,39.754,0.9941310258112496,0.9668203088677799,12.838741572421709,0.0
S01,Scaption,Shoulder-Impingement,39.678,0.9973376627053337,0.9601079023946045,4.275717801727873,0.0
S01,External-Rotation,SubAcromial-Impingement,39.706,0.6625842479471892,0.5581474245414081,14.809863493244519,0.0
S01,Wand-Extension,Frozen-Shoulder,39.735,0.9510143427644943,0.7825554302382155,6.580776497837875,0.0
S02,Bicep-Curl,Bicep-Tendonitis,39.674,0.9971601971751556,0.9705787060453068,6.075805463370901,0.0
S02,Ulnar-Nerve-Glide,Cubital-Tunnel-Syndrome,89.536,0.9973435328608231,0.9569155312827724,4.6597168447037705,0.0
S02,Forearm-Pronation-Supination,Distal-Radius-Fracture,39.784,0.9961994307600707,0.8932052866582031,4.898510580356428,0.05
S02,Wand-Extension,Frozen-Shoulder,39.589,0.9630777244146734,0.8864363986112104,3.43573171059382,0.05
S02,Wand-Flexion,Frozen-Shoulder,29.676,0.9984513465809968,0.9844422571999683,3.452367637632446,0.0
S02,Front-Delt-Raise,Shoulder-Impingement,39.77,0.9886589423059295,0.8598301467369649,6.463399519734357,0.05
S02,Lateral-Delt-Raise,Shoulder-Impingement,39.731,0.9832182144876589,0.8535132051301174,9.080853334814076,0.0
S02,Scaption,Shoulder-Impingement,39.528,0.997638272223717,0.9761103907832306,8.547369011025255,0.0
S02,Scapular,Shoulder-Impingement,39.467,0.9931574528098671,0.9327181373626786,10.103865690357345,0.05
S02,External-Rotation,SubAcromial-Impingement,39.031,0.9235701992653763,0.5705545662140963,5.710572980425901,0.0
S03,Forearm-Pronation-Supination,Distal-Radius-Fracture,39.736,0.9918473450897907,0.9296301294420193,26.267639846810336,0.0
S03,Front-Delt-Raise,Shoulder-Impingement,39.534,0.9923579439228247,0.8979088476085052,11.569063913752919,0.0
S03,Lateral-Delt-Raise,Shoulder-Impingement,39.526,0.9955976129716919,0.9484443724961227,3.9475914256319253,0.05
S03,Scapular,Shoulder-Impingement,29.533,0.9934789462312935,0.9557461737237116,6.940134215602419,0.05
S03,Bicep-Curl,Bicep-Tendonitis,39.41,0.9981870668172318,0.9737167326053086,3.7897736508932613,-0.1
S03,Wand-Extension,Frozen-Shoulder,39.512,0.9802600893761139,0.9138167019709432,2.787571850323668,-0.05
S03,Wand-Flexion,Frozen-Shoulder,29.615,0.9967555852370859,0.9871792213520969,4.5806926845859,-0.05
S03,Scaption,Shoulder-Impingement,39.609,0.9980789738679144,0.9830311052038282,5.640263395986052,-0.05
S03,External-Rotation,SubAcromial-Impingement,39.6,0.837663517644866,0.4361310865852271,14.640791134271902,-0.15
S04,Scapular,Shoulder-Impingement,39.755,0.9951112047987851,0.9409263835908213,3.982926815876099,0.05
S04,Ulnar-Nerve-Glide,Cubital-Tunnel-Syndrome,89.581,0.9978830445163556,0.964591939691888,6.116420821384177,0.0
S04,Forearm-Pronation-Supination,Distal-Radius-Fracture,39.767,0.9923455363057972,0.9067130664987453,6.833549067316983,0.05
S04,Front-Delt-Raise,Shoulder-Impingement,39.479,0.9904241075948285,0.9138732905692757,6.479900407949211,0.05
S04,Lateral-Delt-Raise,Shoulder-Impingement,39.557,0.9910905996046562,0.9030361825116333,5.387072715757663,0.1
S04,Bicep-Curl,Bicep-Tendonitis,39.649,0.9946503092259122,0.9557656658251463,9.882285667736253,0.0
S04,Wand-Extension,Frozen-Shoulder,39.436,0.9569388151390248,0.9140407498267499,6.074065807939658,-0.05
S04,Wand-Flexion,Frozen-Shoulder,29.487,0.9979499656035016,0.9811528811482794,3.876205673917137,0.0
S04,Scaption,Shoulder-Impingement,39.447,0.9985851756072737,0.9873976995141783,3.237411104913467,0.0
S04,External-Rotation,SubAcromial-Impingement,39.68,0.8010662616851849,0.5719559212034503,5.112476422663395,0.0
S05,Bicep-Curl,Bicep-Tendonitis,39.596,0.9919220604738993,0.9720202850807407,11.029109483108803,0.0
S05,Ulnar-Nerve-Glide,Cubital-Tunnel-Syndrome,89.71,0.997438695427521,0.9704380799051397,4.925037594649887,0.0
S05,Forearm-Pronation-Supination,Distal-Radius-Fracture,39.779,0.9954242090234541,0.9309822457353071,16.902859437989882,-0.05
S05,Wand-Extension,Frozen-Shoulder,39.696,0.9947797009730793,0.9461367904342584,3.0617197450487206,0.0
S05,Front-Delt-Raise,Shoulder-Impingement,39.545,0.9955123878139785,0.9179777564418959,3.951242954651196,0.0
S05,Lateral-Delt-Raise,Shoulder-Impingement,39.679,0.9866957295067079,0.9239812777320097,8.922572128208754,0.05
S05,Scaption,Shoulder-Impingement,39.632,0.9970627453788191,0.9483425550896737,3.933280992993186,0.0
S05,Scapular,Shoulder-Impingement,39.742,0.9911354656813058,0.9105576897701065,5.5057141180934135,0.05
S05,External-Rotation,SubAcromial-Impingement,39.759,0.883900758537887,0.798765127787768,6.688742222485778,-0.05
S05,Wand-Flexion,Frozen-Shoulder,29.734,0.9958764263635341,0.9792232241217842,4.885026532980367,0.05
S06,Scapular,Shoulder-Impingement,39.696,0.9595734977218151,0.8556111688107979,10.952674977636223,0.1
S06,Ulnar-Nerve-Glide,Cubital-Tunnel-Syndrome,89.733,0.9982720519614962,0.9512068989790894,4.095116463124718,0.05
S06,Front-Delt-Raise,Shoulder-Impingement,39.617,0.9908573509502511,0.8529388965746714,5.646158289630031,0.05
S06,Lateral-Delt-Raise,Shoulder-Impingement,39.74,0.9943631975102614,0.8840643212712491,4.605701138805051,0.05
S06,Bicep-Curl,Bicep-Tendonitis,39.66,0.9906264213481512,0.9183005329394841,14.658894971511494,-0.05
S06,Wand-Extension,Frozen-Shoulder,39.598,0.9733724186358941,0.9307698716184898,6.967756652548881,-0.05
S06,Wand-Flexion,Frozen-Shoulder,29.413,0.9988109034867801,0.9825147222527086,4.292587745738989,-0.05
S06,Scaption,Shoulder-Impingement,39.69,0.9986769445537363,0.975267389253834,3.4708657038306074,-0.05
S06,External-Rotation,SubAcromial-Impingement,39.7,0.9328980941471378,0.6482574816951504,4.953956143552425,-0.1
S07,Ulnar-Nerve-Glide,Cubital-Tunnel-Syndrome,89.714,0.9930507567223111,0.9571697639353022,7.496203445611443,0.0
S07,Forearm-Pronation-Supination,Distal-Radius-Fracture,39.807,0.9869854043915017,0.8795358178994638,13.205963920813787,0.0
S07,Front-Delt-Raise,Shoulder-Impingement,39.7,0.9819481015038297,0.887003691404034,6.674945971982233,0.05
S07,Lateral-Delt-Raise,Shoulder-Impingement,39.755,0.9856178222729057,0.8962960435232639,9.223610400420284,0.0
S07,Scapular,Shoulder-Impingement,39.788,0.989786267660691,0.8685273863061755,6.189590114291052,0.0
S07,Bicep-Curl,Bicep-Tendonitis,39.578,0.9969401516130048,0.9297707488597573,5.588946862588099,0.0
S07,Wand-Extension,Frozen-Shoulder,39.775,0.9323323455635237,0.8630794248398002,5.135616883863088,0.0
S07,Wand-Flexion,Frozen-Shoulder,29.565,0.9985432953732668,0.9645920086919012,2.9526725595452707,0.0
S07,Scaption,Shoulder-Impingement,39.454,0.9893868450256564,0.9493144332109524,6.380105645041073,0.0
